"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","279","cy.fixture() - load a fixture","Files","2026-02-19","passed","2026-02-19","","","",""
"","84","cy.wrap() - wrap an object","Misc","2026-02-19","passed","2026-02-19","","","",""
"","429","can add new todo items","example to-do app","2026-02-19","passed","2026-02-19","","","",""
"","368",".blur() - blur off a DOM element","Actions","2026-02-19","passed","2026-02-19","","","",""
"","221","cy.get() - query DOM elements","Querying","2026-02-19","passed","2026-02-19","","","",""
"","286",".should() - make an assertion about the current subject","Assertions","2026-02-19","passed","2026-02-19","","Implicit Assertions","",""
"","73","Get current version of Cypress being run","Cypress APIs","2026-02-19","passed","2026-02-19","","Cypress.version","",""
"","227",".children() - get child DOM elements","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","2766","cy.viewport() - set the viewport size and dimension","Viewport","2026-02-19","passed","2026-02-19","","","",""
"","191","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-02-19","passed","2026-02-19","","","",""
"","80","yields the returned value to the next command","Connectors","2026-02-19","passed","2026-02-19","",".then()","",""
"","2527","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-02-19","passed","2026-02-19","","","",""
"","845","cy.exec() - execute a system command","Misc","2026-02-19","passed","2026-02-19","","","",""
"","168","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-02-19","passed","2026-02-19","","","",""
"","628",".as() - alias a route for later use","Aliasing","2026-02-19","passed","2026-02-19","","","",""
"","114","cy.contains() - query DOM elements with matching content","Querying","2026-02-19","passed","2026-02-19","","","",""
"","93","cy.fixture() or require - load a fixture","Files","2026-02-19","passed","2026-02-19","","","",""
"","103","finds element by class name regex","Assertions","2026-02-19","passed","2026-02-19","","Explicit Assertions","",""
"","196",".dblclick() - double click on a DOM element","Actions","2026-02-19","passed","2026-02-19","","","",""
"","186",".add() - create a custom command","Cypress APIs","2026-02-19","passed","2026-02-19","","Cypress.Commands","",""
"","98","cy.readFile() - read file contents","Files","2026-02-19","passed","2026-02-19","","","",""
"","99","cy.setCookie() - set a browser cookie","Cookies","2026-02-19","passed","2026-02-19","","","",""
"","490","cy.intercept() - route responses to matching requests","Network Requests","2026-02-19","passed","2026-02-19","","","",""
"","826",".uncheck() - uncheck a checkbox element","Actions","2026-02-19","passed","2026-02-19","","","",""
"","82","cy.title() - get the title","Window","2026-02-19","passed","2026-02-19","","","",""
"","93","can throw any error","Assertions","2026-02-19","passed","2026-02-19","","Explicit Assertions","",""
"","72","Get underlying OS name","Cypress APIs","2026-02-19","passed","2026-02-19","","Cypress.platform","",""
"","79","Get environment variables","Cypress APIs","2026-02-19","passed","2026-02-19","","Cypress.env()","",""
"","89",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","77","cy.url() - get the current URL","Location","2026-02-19","passed","2026-02-19","","","",""
"","465",".clear() - clears an input or textarea element","Actions","2026-02-19","passed","2026-02-19","","","",""
"","183","cy.window() - get the global window object","Window","2026-02-19","passed","2026-02-19","","","",""
"","91",".invoke() - invoke a function on the current subject","Connectors","2026-02-19","passed","2026-02-19","","","",""
"","294","cy.request() - verify response using BDD syntax","Network Requests","2026-02-19","passed","2026-02-19","","","",""
"","89","assert - assert shape of an object","Assertions","2026-02-19","passed","2026-02-19","","Explicit Assertions","",""
"","86",".prevAll() - get all previous sibling DOM elements","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","205","cy.request() with query parameters","Network Requests","2026-02-19","passed","2026-02-19","","","",""
"","190","Cypress.$ - call a jQuery method","Utilities","2026-02-19","passed","2026-02-19","","","",""
"","154","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-02-19","passed","2026-02-19","","","",""
"","4407","cy.wait() - wait for a specific amount of time","Waiting","2026-02-19","passed","2026-02-19","","","",""
"","84","cy.document() - get the document object","Window","2026-02-19","passed","2026-02-19","","","",""
"","79",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-02-19","passed","2026-02-19","","Cypress.dom","",""
"","241","can filter for completed tasks","example to-do app","2026-02-19","passed","2026-02-19","","with a checked task","",""
"","83",".within() - query DOM elements within a specific element","Querying","2026-02-19","passed","2026-02-19","","","",""
"","85","Get CPU architecture name of underlying OS","Cypress APIs","2026-02-19","passed","2026-02-19","","Cypress.arch","",""
"","87","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-02-19","passed","2026-02-19","","Cypress.Screenshot","",""
"","101","cy.location() - get window.location","Location","2026-02-19","passed","2026-02-19","","","",""
"","23","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-02-19","passed","2026-02-19","","","",""
"","318","cy.request() - pass result to the second request","Network Requests","2026-02-19","passed","2026-02-19","","","",""
"","314",".as() - alias a DOM element for later use","Aliasing","2026-02-19","passed","2026-02-19","","","",""
"","255","can delete all completed tasks","example to-do app","2026-02-19","passed","2026-02-19","","with a checked task","",""
"","103",".debug() - enable or disable debugging","Cypress APIs","2026-02-19","passed","2026-02-19","","Cypress.Cookies","",""
"","81","yields the original subject without return","Connectors","2026-02-19","passed","2026-02-19","",".then()","",""
"","1580","retries the should callback until assertions pass","Assertions","2026-02-19","passed","2026-02-19","","Explicit Assertions","",""
"","96",".siblings() - get all sibling DOM elements","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","158","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-02-19","passed","2026-02-19","","","",""
"","1089","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-02-19","passed","2026-02-19","","","",""
"","275","cy.focused() - get the DOM element that has focus","Misc","2026-02-19","passed","2026-02-19","","","",""
"","87",".prev() - get previous sibling DOM element","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","80",".parent() - get parent DOM element from DOM elements","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","257","can filter for uncompleted tasks","example to-do app","2026-02-19","passed","2026-02-19","","with a checked task","",""
"","79","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-02-19","passed","2026-02-19","","","",""
"","81",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","83",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","114","pass your own callback function to should()","Assertions","2026-02-19","passed","2026-02-19","","Explicit Assertions","",""
"","172","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-02-19","passed","2026-02-19","","","",""
"","113",".focus() - focus on a DOM element","Actions","2026-02-19","passed","2026-02-19","","","",""
"","958","cy.go() - go back or forward in the browser's history","Navigation","2026-02-19","passed","2026-02-19","","","",""
"","114","cy.getAllCookies() - get all browser cookies","Cookies","2026-02-19","passed","2026-02-19","","","",""
"","84","cy.root() - query the root DOM element","Querying","2026-02-19","passed","2026-02-19","","","",""
"","168","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-02-19","passed","2026-02-19","","","",""
"","344","cy.reload() - reload the page","Navigation","2026-02-19","passed","2026-02-19","","","",""
"","231","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-02-19","passed","2026-02-19","","","",""
"","2124","cy.scrollTo() - scroll the window or element to a position","Actions","2026-02-19","passed","2026-02-19","","","",""
"","113",".closest() - get closest ancestor DOM element","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","371",".submit() - submit a form","Actions","2026-02-19","passed","2026-02-19","","","",""
"","80","yields the value yielded by the last Cypress command inside","Connectors","2026-02-19","passed","2026-02-19","",".then()","",""
"","111",".and() - chain multiple assertions together","Assertions","2026-02-19","passed","2026-02-19","","Implicit Assertions","",""
"","835","cy.screenshot() - take a screenshot","Misc","2026-02-19","passed","2026-02-19","","Cypress.Screenshot","",""
"","3700",".type() - type into a DOM element","Actions","2026-02-19","passed","2026-02-19","","","",""
"","188","cy.hash() - get the current URL hash","Location","2026-02-19","passed","2026-02-19","","","",""
"","80",".spread() - spread an array as individual args to callback function","Connectors","2026-02-19","passed","2026-02-19","","","",""
"","119",".trigger() - trigger an event on a DOM element","Actions","2026-02-19","passed","2026-02-19","","","",""
"","144","expect - make an assertion about a specified subject","Assertions","2026-02-19","passed","2026-02-19","","Explicit Assertions","",""
"","500","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-02-19","passed","2026-02-19","","","",""
"","610","displays two todo items by default","example to-do app","2026-02-19","passed","2026-02-19","","","",""
"","94",".first() - get first DOM element","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","1923",".click() - click on a DOM element","Actions","2026-02-19","passed","2026-02-19","","","",""
"","166","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-02-19","passed","2026-02-19","","","",""
"","157",".scrollIntoView() - scroll an element into view","Actions","2026-02-19","passed","2026-02-19","","","",""
"","77","Control what is printed to the Command Log","Cypress APIs","2026-02-19","passed","2026-02-19","","Cypress.log","",""
"","24","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-02-19","passed","2026-02-19","","","",""
"","92",".next() - get next sibling DOM element","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","87",".nextAll() - get all next sibling DOM elements","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","458","cy.request() - make an XHR request","Network Requests","2026-02-19","passed","2026-02-19","","","",""
"","335","cy.visit() - visit a remote url","Navigation","2026-02-19","passed","2026-02-19","","","",""
"","216",".each() - iterate over an array of elements","Connectors","2026-02-19","passed","2026-02-19","","","",""
"","98","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-02-19","passed","2026-02-19","","","",""
"","193",".rightclick() - right click on a DOM element","Actions","2026-02-19","passed","2026-02-19","","","",""
"","97","matches unknown text between two elements","Assertions","2026-02-19","passed","2026-02-19","","Explicit Assertions","",""
"","87",".parents() - get parent DOM elements from DOM elements","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","226","cy.writeFile() - write to a file","Files","2026-02-19","passed","2026-02-19","","","",""
"","325","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-02-19","passed","2026-02-19","","","",""
"","100","Get and set configuration options","Cypress APIs","2026-02-19","passed","2026-02-19","","Cypress.config()","",""
"","90","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-02-19","passed","2026-02-19","","","",""
"","90",".last() - get last DOM element","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","333","Cypress._ - call a lodash method","Utilities","2026-02-19","passed","2026-02-19","","","",""
"","96","invokes a callback function with the current subject","Connectors","2026-02-19","passed","2026-02-19","",".then()","",""
"","762",".check() - check a checkbox or radio element","Actions","2026-02-19","passed","2026-02-19","","","",""
"","94",".filter() - get DOM elements that match the selector","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","836",".select() - select an option in a <select> element","Actions","2026-02-19","passed","2026-02-19","","","",""
"","187","cy.clearCookie() - clear a browser cookie","Cookies","2026-02-19","passed","2026-02-19","","","",""
"","88",".not() - remove DOM elements from set of DOM elements","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","76","Get current spec information","Cypress APIs","2026-02-19","passed","2026-02-19","","Cypress.spec","",""
"","268","cy.wait() - wait for a specific route","Waiting","2026-02-19","passed","2026-02-19","","","",""
"","306","cy.getCookie() - get a browser cookie","Cookies","2026-02-19","passed","2026-02-19","","","",""
"","99",".its() - get properties on the current subject","Connectors","2026-02-19","passed","2026-02-19","","","",""
"","187","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-02-19","passed","2026-02-19","","","",""
"","128",".find() - get descendant DOM elements of the selector","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","165","can check off an item as completed","example to-do app","2026-02-19","passed","2026-02-19","","","",""
"","102",".eq() - get a DOM element at a specific index","Traversal","2026-02-19","passed","2026-02-19","","","",""
"","338","cy.request() - save response in the shared test context","Network Requests","2026-02-19","passed","2026-02-19","","","",""
"","601","best practices - selecting elements","Querying","2026-02-19","passed","2026-02-19","","","",""
